"date","hits","keyword","geo","time","gprop","category"
2018-01-07,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-01-14,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-01-21,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-01-28,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-02-04,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-02-11,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-02-18,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-02-25,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-03-04,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-03-11,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-03-18,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-03-25,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-04-01,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-04-08,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-04-15,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-04-22,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-04-29,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-05-06,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-05-13,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-05-20,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-05-27,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-06-03,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-06-10,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-06-17,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-06-24,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-07-01,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-07-08,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-07-15,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-07-22,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-07-29,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-08-05,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-08-12,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-08-19,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-08-26,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-09-02,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-09-09,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-09-16,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-09-23,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-09-30,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-10-07,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
